Date,Year,Month,DateFraction,SmoothedSSN,Definitive,Extra1,Extra2
1749-07-01,1749,7,1749.538,135.9,-1.0,-1,1
1749-08-01,1749,8,1749.623,137.9,-1.0,-1,1
1749-09-01,1749,9,1749.707,140.2,-1.0,-1,1
1749-10-01,1749,10,1749.79,143.8,-1.0,-1,1
1749-11-01,1749,11,1749.874,146.4,-1.0,-1,1
1749-12-01,1749,12,1749.958,147.9,-1.0,-1,1
1750-01-01,1750,1,1750.042,148.4,-1.0,-1,1
1750-02-01,1750,2,1750.123,150.3,-1.0,-1,1
1750-03-01,1750,3,1750.204,153.9,-1.0,-1,1
1750-04-01,1750,4,1750.288,154.3,-1.0,-1,1
1750-05-01,1750,5,1750.371,147.0,-1.0,-1,1
1750-06-01,1750,6,1750.455,139.7,-1.0,-1,1
1750-07-01,1750,7,1750.538,138.8,-1.0,-1,1
1750-08-01,1750,8,1750.623,136.3,-1.0,-1,1
1750-09-01,1750,9,1750.707,131.0,-1.0,-1,1
1750-10-01,1750,10,1750.79,125.7,-1.0,-1,1
1750-11-01,1750,11,1750.874,121.5,-1.0,-1,1
1750-12-01,1750,12,1750.958,116.0,-1.0,-1,1
1751-01-01,1751,1,1751.042,111.3,-1.0,-1,1
1751-02-01,1751,2,1751.123,106.9,-1.0,-1,1
1751-03-01,1751,3,1751.204,99.2,-1.0,-1,1
1751-04-01,1751,4,1751.288,91.6,-1.0,-1,1
1751-05-01,1751,5,1751.371,86.2,-1.0,-1,1
1751-06-01,1751,6,1751.455,81.6,-1.0,-1,1
1751-07-01,1751,7,1751.538,77.0,-1.0,-1,1
1751-08-01,1751,8,1751.623,75.0,-1.0,-1,1
1751-09-01,1751,9,1751.707,77.3,-1.0,-1,1
1751-10-01,1751,10,1751.79,79.2,-1.0,-1,1
1751-11-01,1751,11,1751.874,79.4,-1.0,-1,1
1751-12-01,1751,12,1751.958,78.5,-1.0,-1,1
1752-01-01,1752,1,1752.042,78.6,-1.0,-1,1
1752-02-01,1752,2,1752.124,77.3,-1.0,-1,1
1752-03-01,1752,3,1752.206,75.5,-1.0,-1,1
1752-04-01,1752,4,1752.29,77.3,-1.0,-1,1
1752-05-01,1752,5,1752.373,79.6,-1.0,-1,1
1752-06-01,1752,6,1752.456,79.9,-1.0,-1,1
1752-07-01,1752,7,1752.54,80.3,-1.0,-1,1
1752-08-01,1752,8,1752.624,79.7,-1.0,-1,1
1752-09-01,1752,9,1752.708,76.7,-1.0,-1,1
1752-10-01,1752,10,1752.791,73.4,-1.0,-1,1
1752-11-01,1752,11,1752.874,70.3,-1.0,-1,1
1752-12-01,1752,12,1752.958,68.1,-1.0,-1,1
1753-01-01,1753,1,1753.042,63.6,-1.0,-1,1
1753-02-01,1753,2,1753.123,60.4,-1.0,-1,1
1753-03-01,1753,3,1753.204,61.1,-1.0,-1,1
1753-04-01,1753,4,1753.288,59.7,-1.0,-1,1
1753-05-01,1753,5,1753.371,57.0,-1.0,-1,1
1753-06-01,1753,6,1753.455,53.4,-1.0,-1,1
1753-07-01,1753,7,1753.538,48.1,-1.0,-1,1
1753-08-01,1753,8,1753.623,43.0,-1.0,-1,1
1753-09-01,1753,9,1753.707,37.9,-1.0,-1,1
1753-10-01,1753,10,1753.79,33.2,-1.0,-1,1
1753-11-01,1753,11,1753.874,30.4,-1.0,-1,1
1753-12-01,1753,12,1753.958,29.0,-1.0,-1,1
1754-01-01,1754,1,1754.042,28.5,-1.0,-1,1
1754-02-01,1754,2,1754.123,26.4,-1.0,-1,1
1754-03-01,1754,3,1754.204,23.2,-1.0,-1,1
1754-04-01,1754,4,1754.288,21.7,-1.0,-1,1
1754-05-01,1754,5,1754.371,21.2,-1.0,-1,1
1754-06-01,1754,6,1754.455,20.5,-1.0,-1,1
1754-07-01,1754,7,1754.538,21.1,-1.0,-1,1
1754-08-01,1754,8,1754.623,22.3,-1.0,-1,1
1754-09-01,1754,9,1754.707,23.3,-1.0,-1,1
1754-10-01,1754,10,1754.79,23.1,-1.0,-1,1
1754-11-01,1754,11,1754.874,21.2,-1.0,-1,1
1754-12-01,1754,12,1754.958,17.9,-1.0,-1,1
1755-01-01,1755,1,1755.042,15.3,-1.0,-1,1
1755-02-01,1755,2,1755.123,14.0,-1.0,-1,1
1755-03-01,1755,3,1755.204,14.0,-1.0,-1,1
1755-04-01,1755,4,1755.288,14.7,-1.0,-1,1
1755-05-01,1755,5,1755.371,14.2,-1.0,-1,1
1755-06-01,1755,6,1755.455,14.8,-1.0,-1,1
1755-07-01,1755,7,1755.538,16.1,-1.0,-1,1
1755-08-01,1755,8,1755.623,16.0,-1.0,-1,1
1755-09-01,1755,9,1755.707,15.6,-1.0,-1,1
1755-10-01,1755,10,1755.79,15.7,-1.0,-1,1
1755-11-01,1755,11,1755.874,16.8,-1.0,-1,1
1755-12-01,1755,12,1755.958,18.5,-1.0,-1,1
1756-01-01,1756,1,1756.042,19.1,-1.0,-1,1
1756-02-01,1756,2,1756.124,19.0,-1.0,-1,1
1756-03-01,1756,3,1756.206,18.8,-1.0,-1,1
1756-04-01,1756,4,1756.29,17.7,-1.0,-1,1
1756-05-01,1756,5,1756.373,17.7,-1.0,-1,1
1756-06-01,1756,6,1756.456,17.7,-1.0,-1,1
1756-07-01,1756,7,1756.54,17.1,-1.0,-1,1
1756-08-01,1756,8,1756.624,18.2,-1.0,-1,1
1756-09-01,1756,9,1756.708,20.6,-1.0,-1,1
1756-10-01,1756,10,1756.791,23.5,-1.0,-1,1
1756-11-01,1756,11,1756.874,26.7,-1.0,-1,1
1756-12-01,1756,12,1756.958,28.5,-1.0,-1,1
1757-01-01,1757,1,1757.042,29.9,-1.0,-1,1
1757-02-01,1757,2,1757.123,34.6,-1.0,-1,1
1757-03-01,1757,3,1757.204,39.6,-1.0,-1,1
1757-04-01,1757,4,1757.288,42.8,-1.0,-1,1
1757-05-01,1757,5,1757.371,47.4,-1.0,-1,1
1757-06-01,1757,6,1757.455,52.4,-1.0,-1,1
1757-07-01,1757,7,1757.538,55.7,-1.0,-1,1
1757-08-01,1757,8,1757.623,59.5,-1.0,-1,1
1757-09-01,1757,9,1757.707,63.2,-1.0,-1,1
1757-10-01,1757,10,1757.79,67.7,-1.0,-1,1
1757-11-01,1757,11,1757.874,71.2,-1.0,-1,1
1757-12-01,1757,12,1757.958,74.0,-1.0,-1,1
1758-01-01,1758,1,1758.042,77.6,-1.0,-1,1
1758-02-01,1758,2,1758.123,78.0,-1.0,-1,1
1758-03-01,1758,3,1758.204,78.7,-1.0,-1,1
1758-04-01,1758,4,1758.288,80.7,-1.0,-1,1
1758-05-01,1758,5,1758.371,79.5,-1.0,-1,1
1758-06-01,1758,6,1758.455,78.7,-1.0,-1,1
1758-07-01,1758,7,1758.538,80.1,-1.0,-1,1
1758-08-01,1758,8,1758.623,80.3,-1.0,-1,1
1758-09-01,1758,9,1758.707,79.6,-1.0,-1,1
1758-10-01,1758,10,1758.79,77.6,-1.0,-1,1
1758-11-01,1758,11,1758.874,76.1,-1.0,-1,1
1758-12-01,1758,12,1758.958,76.6,-1.0,-1,1
1759-01-01,1759,1,1759.042,77.4,-1.0,-1,1
1759-02-01,1759,2,1759.123,80.2,-1.0,-1,1
1759-03-01,1759,3,1759.204,83.5,-1.0,-1,1
1759-04-01,1759,4,1759.288,86.0,-1.0,-1,1
1759-05-01,1759,5,1759.371,87.8,-1.0,-1,1
1759-06-01,1759,6,1759.455,89.0,-1.0,-1,1
1759-07-01,1759,7,1759.538,91.3,-1.0,-1,1
1759-08-01,1759,8,1759.623,93.7,-1.0,-1,1
1759-09-01,1759,9,1759.707,96.7,-1.0,-1,1
1759-10-01,1759,10,1759.79,99.4,-1.0,-1,1
1759-11-01,1759,11,1759.874,101.8,-1.0,-1,1
1759-12-01,1759,12,1759.958,103.3,-1.0,-1,1
1760-01-01,1760,1,1760.042,104.2,-1.0,-1,1
1760-02-01,1760,2,1760.124,105.5,-1.0,-1,1
1760-03-01,1760,3,1760.206,104.7,-1.0,-1,1
1760-04-01,1760,4,1760.29,103.0,-1.0,-1,1
1760-05-01,1760,5,1760.373,103.3,-1.0,-1,1
1760-06-01,1760,6,1760.456,104.5,-1.0,-1,1
1760-07-01,1760,7,1760.54,105.0,-1.0,-1,1
1760-08-01,1760,8,1760.624,107.3,-1.0,-1,1
1760-09-01,1760,9,1760.708,109.9,-1.0,-1,1
1760-10-01,1760,10,1760.791,111.3,-1.0,-1,1
1760-11-01,1760,11,1760.874,114.7,-1.0,-1,1
1760-12-01,1760,12,1760.958,120.7,-1.0,-1,1
1761-01-01,1761,1,1761.042,126.1,-1.0,-1,1
1761-02-01,1761,2,1761.123,129.2,-1.0,-1,1
1761-03-01,1761,3,1761.204,133.0,-1.0,-1,1
1761-04-01,1761,4,1761.288,138.4,-1.0,-1,1
1761-05-01,1761,5,1761.371,143.1,-1.0,-1,1
1761-06-01,1761,6,1761.455,144.1,-1.0,-1,1
1761-07-01,1761,7,1761.538,141.3,-1.0,-1,1
1761-08-01,1761,8,1761.623,138.2,-1.0,-1,1
1761-09-01,1761,9,1761.707,134.5,-1.0,-1,1
1761-10-01,1761,10,1761.79,131.3,-1.0,-1,1
1761-11-01,1761,11,1761.874,125.8,-1.0,-1,1
1761-12-01,1761,12,1761.958,119.6,-1.0,-1,1
1762-01-01,1762,1,1762.042,113.8,-1.0,-1,1
1762-02-01,1762,2,1762.123,108.0,-1.0,-1,1
1762-03-01,1762,3,1762.204,104.2,-1.0,-1,1
1762-04-01,1762,4,1762.288,100.6,-1.0,-1,1
1762-05-01,1762,5,1762.371,98.4,-1.0,-1,1
1762-06-01,1762,6,1762.455,99.7,-1.0,-1,1
1762-07-01,1762,7,1762.538,102.8,-1.0,-1,1
1762-08-01,1762,8,1762.623,100.8,-1.0,-1,1
1762-09-01,1762,9,1762.707,97.2,-1.0,-1,1
1762-10-01,1762,10,1762.79,94.5,-1.0,-1,1
1762-11-01,1762,11,1762.874,92.1,-1.0,-1,1
1762-12-01,1762,12,1762.958,88.8,-1.0,-1,1
1763-01-01,1763,1,1763.042,87.3,-1.0,-1,1
